Member,Cycle,Reporting Date/Period,Response Status,Street Address:,City:,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation? ",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency’s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",January,01/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,Actual weight,16,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,189,,,,,189,,16,1.5,16.33,313.75,313.75,313.75,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",February,02/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,262.5,262.5,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",March,03/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,262.5,262.5,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",April,04/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,262.5,262.5,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",May,05/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,Actual weight,33,,,,,,,,,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,210,,,,,210,,33,3.05,18.79,323.25,323.25,323.25,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",June,06/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,262.5,262.5,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",July,07/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,Ada City Recycling,,Actual weight,5,,,,,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,154,,,,,154,,5,0.47,13.15,302.25,302.25,302.25,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",August,08/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,Ada City Recycling,,Actual weight,10,,,,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,154,,,,,154,,10,0.94,13.51,303.5,303.5,303.5,Yes,,,Yes,,,
"R2: Ada Truck Station - 508 Fourth Street East Ada, MN 56510",September,09/01/2019,completed,508 4th St E.,Ada,56510,Norman,Department of Transportation,Ada TS,,,,4,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Al's Disposal,Polk County Incinerator,Weight converted from volume,1050,,,,,Ada City Recycling,,,,Ada City Recycling,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight converted from volume,224,,,,,224,,,,17.58,318.5,318.5,318.5,Yes,,,Yes,,,
"R2: Bagley Truck Station - 20602 US 2 Bagley, MN 56621",January,01/01/2019,completed,20602 US Hwy 2,Bagley,56621,Clearwater,Department of Transportation,Bagley TS,,,,5,No,,No,,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Linstrom,Polk County Incinerator,Weight converted from volume,1400,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,280,Yes,,,Yes,,,
