Member,Street Address:,City:,Address.x,Address.y,Site Name,Site ID,distance,Agency,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency<U+0092>s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:_1,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R2: Deer River Truck Station - 44703 Chase Lake Road Deer River, MN 56636",44703 Chase Lake Rd,Deer River,"44703 chase lake rd, deer river","44703 chase lake rd, deer river","SITE, D2A, TRUCK STATION, DEER RIVER",11828,0,DOT,56636,Itasca,Department of Transportation,Deer River TS,NA,NA,NA,3,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Waste Management,Cohasset Waste Management,Weight converted from volume,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,350,350,Yes,NA,NA,Yes,NA,NA,NA
D2: Karlstad Truck Station,312 Harding St South,Karlstad,"312 harding st s, karlstad","312 harding st s, karlstad","SITE, D2B, TRUCK STATION, KARLSTAD",11833,0,DOT,56732,Kittson,Department of Transportation,Karlstad TS,NA,NA,"Shop, office",2,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,Anderson Sanitation,Mar-Kit Landfill,Weight converted from volume,525,NA,NA,NA,NA,MNDOT,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNDOT,NA,NA,NA,NA,NA,NA,NA,NA,262.5,262.5,262.5,Yes,NA,NA,NA,NA,NA,NA
"R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751",1190 Center St W,Roseau,"1190 center st w, roseau","1190 center st w, roseau","SITE, D2B, TRUCK STATION, ROSEAU",11836,0,DOT,56751,Roseau,Department of Transportation,Roseau TS,NA,NA,NA,8,No,NA,No,NA,Joe Leas,218-277-7956,218-277-7957,joel.leas@state.mn.us,City of Roseau,Salo Transfer Station,Weight converted from volume,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,0.71,705,705,705,Yes,NA,NA,Yes,NA,NA,NA
"R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345",15038 Pine Ave,Little Falls,"15038 pine ave, little falls","15038 pine ave, little falls","SITE, D3A, TRUCK STATION (NEW), LITTLE FALLS",15669,0,DOT,56345,NA,Department of Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waste Management,NA,Actual weight,14000,East Side Oil Co/Waste Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.99,144.99,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4: Barnesville Truck Station - 1201 Highway 34 Barnesville, MN 56514",1201 Hwy 34,Barnesville,"1201 hwy 34, barnesville","1201 hwy 34, barnesville","SITE, D4A, TRUCK STATION, BARNESVILLE",11901,0,DOT,56514,Clay,Department of Transportation,Barnesville,8000,8000,NA,8,No,NA,No,NA,NA,NA,NA,NA,Fuchs Sanitation,NA,Actual weight,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,87.5,87.5,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R4: Benson Truck Station - 500 22nd Street S Benson, MN 56215",500 22nd Street South,Benson,"500 22nd st s, benson","500 22nd st s, benson","SITE, D4A, TRUCK STATION, BENSON",11902,0,DOT,56215,Swift,Department of Transportation,Benson,5520,5520,Office/Maintenance Shop,4,No,NA,No,NA,NA,NA,NA,NA,Mathison Disposal,NA,Actual weight,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.25,131.25,131.25,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R4: Breckenridge Truck Station - 401 South 8th Street Breckenridge, MN 56520",401 South 8th Street,Breckenridge,"401 s 8th st, breckenridge","401 s 8th st, breckenridge","SITE, D4A, TRUCK STATION, BRECKENRIDGE",11903,0,DOT,56520,Wilkin,Department of Transportation,Breckenridge,4828,4828,Office/Maintenance Shop,6,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,Actual weight,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.67,116.67,116.67,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R4: Evansville Truck Station - 20874 County Road 82 NW Evansville, MN 56326",20874 Co Rd 82 NW,Evansville,"20874 co rd 82 nw, evansville","20874 co rd 82 nw, evansville","SITE, D4A, TRUCK STATION, EVANSVILLE",11904,0,DOT,56326,Douglas,Department of Transportation,Evansville,6108,6108,Office/Maintenance Shop,8,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,NA,Waste Management,NA,Actual weight,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,100,100,87.5,87.5,87.5,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R4: Fergus Falls Truck Station - 1205 East Douglas Avenue Fergus Falls, MN 56537",1205 East Douglas Ave,Fergus Falls,"1205 e douglas ave, ferghwy falls","1205 e douglas ave, ferghwy falls","SITE, D4A, TRUCK STATION, FERGUS FALLS",11905,0,DOT,56537,Otter Tail,Department of Transportation,Fergus Falls,19542,19542,Office/Maintenance Shop,16,No,NA,Yes,50,NA,NA,NA,NA,City of Fergus Falls,NA,NA,NA,City of Fergus Falls,NA,Weight converted from volume,2275,NA,NA,NA,NA,NA,NA,Weight converted from volume,153,NA,NA,NA,NA,2428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigelman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2428,100,100,151.75,151.75,36.79,Yes,NA,NA,Yes,NA,NA,"Refillable water stations (plumbed in)
 Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
"R4: Henning Truck Station - 100 Douglas Avenue Henning, MN 56551",100 Douglas Ave,Henning,"100 douglas ave, henning","100 douglas ave, henning","SITE, D4A, TRUCK STATION, HENNING",11908,0,DOT,56551,Otter Tail,Department of Transportation,Henning,4704,4704,Office/Maintenance Shop,6,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,NA,Waste Management,NA,Weight converted from volume,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,100,100,58.33,58.33,58.33,Yes,NA,NA,Yes,NA,NA,"Default to double-sided (duplex) printing
Utilizing electronic meeting materials as a standard"
