"","Name","Address.x","origname","Agency.x","Address.y","City","State","Zip","Site ID","Site Name","Agency21","Agency.y","distance"
"1","Bemidji","705 5th St NW Bemidji, MN 56601","Bemidji: 705 5th St NW Bemidji, MN 56601","DMA","705 5th St NW Suite A, Bemidji, MN 56601","Bemidji","MN","56601","15579","Bemidji","Department of Health","MDH",0.134139784946237
"2","Bemidji","705 5th St NW Bemidji, MN 56601","Bemidji: 705 5th St NW Bemidji, MN 56601","DMA","855 7th St, Red Wing, MN 55066","Red Wing","MN","55066","4743","Red Wing TACC","Military Affairs","DMA",0.23915770609319
"3","Bemidji","705 5th St NW Bemidji, MN 56601","Bemidji: 705 5th St NW Bemidji, MN 56601","DMA","1430 23rd St NW, Bemidji, MN 56601","Bemidji","MN","56601","4733","Bemidji TACC","Military Affairs","DMA",0.215528146742568
"4","Bemidji","705 5th St NW Bemidji, MN 56601","Bemidji: 705 5th St NW Bemidji, MN 56601","DMA","102 23rd St NE, Bemidji, MN 56601","Bemidji","MN","56601","10643","Office (2) & Storage","Department of Natural Resources","DNR",0.225324209840339
"5","Bemidji","705 5th St NW Bemidji, MN 56601","Bemidji: 705 5th St NW Bemidji, MN 56601","DMA","603 3rd St NW, Bemidji, MN 56601","Bemidji","MN","56601","16925","Red River SRA Water","Department of Natural Resources","DNR",0.199596774193548
"6","Enfield Rest Area","898 135th St. NW, Monticello, MN  55362","D3B: Enfield Rest Area - 898 135th St. NW, Monticello, MN  55362","DOT","907 77TH Street NE, Monticello, MN 55362","Monticello","MN","55362","11739","SITE, D10, LAB, MNROAD RESEARCH","DOT","DOT",0.243589743589744
"7","Cannon Falls Truck Station","31664 County Road 24","D6: Cannon Falls Truck Station - 31664 County Road 24","DOT","29656 County Road 12, Wilson, MN 55987","Wilson","MN","55987","11977","SITE, D6A, TRUCK STATION, WILSON","DOT","DOT",0.253818369453044
"8","DEED Workforce Center","777 East Lake Street, Minneapolis, MN 55407","DEED Workforce Center 777 East Lake Street, Minneapolis, MN 55407","MN.IT","777 E Lake St, Minneapolis, MN 55404","Minneapolis","MN","55404","10260","S Mpls WFC","Department of Employment & Economic Development (DEED)","DEED",0.171274763135228
"9","DEED Workforce Center","777 East Lake Street, Minneapolis, MN 55407","DEED Workforce Center 777 East Lake Street, Minneapolis, MN 55407","MN.IT","10 2nd Street NE, Minneapolis, MN 55413","Minneapolis","MN","55413","15502","Minneapolis BCA FBI Office","Department of Public Safety","DPS",0.247420829566366
"10","DEED Workforce Center","777 East Lake Street, Minneapolis, MN 55407","DEED Workforce Center 777 East Lake Street, Minneapolis, MN 55407","MN.IT","3740 41St Ave So, Minneapolis, MN 55406","Minneapolis","MN","55406","15788","Minneapolis - 41st Avenue","Department of Human Services","DHS",0.251468481620847
"11","Detroit Lakes","714 Lake Avenue, Suite 220 Detroit Lakes, MN 56501","Detroit Lakes: 714 Lake Avenue, Suite 220 Detroit Lakes, MN 56501","DMA","714 Lake Avenue, Suite 220, Detroit Lakes, MN 56501","Detroit Lakes","MN","56501","15731","Detroit Lakes Office","Minnesota Pollution Control Agency","MPCA",0.0565359477124183
"12","Duluth","11 E Superior Street, Suite 277 Duluth, MN 55802","Duluth: 11 E Superior Street, Suite 277 Duluth, MN 55802","DMA","6831 East Superior Street, Duluth, MN 55804","Duluth","MN","55804","11750","SITE, D1A, LOADING SITE, LESTER RIVER","DOT","DOT",0.253531147426496
"13","Duluth","11 E Superior Street, Suite 277 Duluth, MN 55802","Duluth: 11 E Superior Street, Suite 277 Duluth, MN 55802","DMA","11 E. Superior St. Suite 290, DUluth, MN 55802","DUluth","MN","55802","15578","Duluth","Department of Health","MDH",0.170208848827619
"14","East Grand Forks","312 4th Ave NE East Grand Forks,MN 56721","East Grand Forks: 312 4th Ave NE East Grand Forks,MN 56721","MDA","2511 HWY 2 NE, East Grand Forks, MN 56721","East Grand Forks","MN","56721","11829","SITE, D2B, TRUCK STATION, EAST GRAND FORKS","DOT","DOT",0.234485094850949
"15","East Grand Forks","312 4th Ave NE East Grand Forks,MN 56721","East Grand Forks: 312 4th Ave NE East Grand Forks,MN 56721","MDA","312 4th Ave NE, East Grand Forks, MN 56721","East Grand Forks","MN","56721","11247","MDA East Grand Forks Potato Inspection Facility","Department of Agriculture","MDA",0.103373015873016
"16","East Grand Forks","312 4th Ave NE East Grand Forks,MN 56721","East Grand Forks: 312 4th Ave NE East Grand Forks,MN 56721","MDA","2134/2132 13Th Ave NW, East Grand Forks, MN 56721","East Grand Forks","MN","56721","15808","East Grand Forks - 13th Ave","Department of Human Services","DHS",0.223075546007877
"17","East Grand Forks","312 4th Ave NE East Grand Forks,MN 56721","East Grand Forks: 312 4th Ave NE East Grand Forks,MN 56721","MDA","515 2nd St NW, East Grand Forks, MN 56721","East Grand Forks","MN","56721","10860","Contact Station, Cold, 2 Shelters & Sanitation","Department of Natural Resources","DNR",0.254687115052969
"18","East Grand Forks","312 4th Ave NE East Grand Forks,MN 56721","East Grand Forks: 312 4th Ave NE East Grand Forks,MN 56721","MDA","515 2nd St NW, East Grand Forks, MN 56721","East Grand Forks","MN","56721","11250","Sanitation, 80 Campsites & RV Station R2900108360","Department of Natural Resources","DNR",0.254687115052969
"19","Faribault","1101 Linden Lane Faribault, MN 55021","Faribault: 1101 Linden Lane Faribault, MN 55021","DOC","1011 3Rd Street SE, Faribault, MN 55021","Faribault","MN","55021","15781","Faribault - 3rd Street","Department of Human Services","DHS",0.259480302583751
"20","Faribault","1101 Linden Lane Faribault, MN 55021","Faribault: 1101 Linden Lane Faribault, MN 55021","DOC","215 Erbland Ave., Faribault, MN 55021","Faribault","MN","55021","16142","Faribault - Erblang - Parkside","Department of Human Services","DHS",0.259843176509843
"21","Faribault","1101 Linden Lane Faribault, MN 55021","Faribault: 1101 Linden Lane Faribault, MN 55021","DOC","1101 Linden Lane, FAIRBAULT, MN 55021","FAIRBAULT","MN","55021","5974","MCF - Faribault","Department of Correctional Facilities","DOC",0.173012298012298
"22","Faribault","1101 Linden Lane Faribault, MN 55021","Faribault: 1101 Linden Lane Faribault, MN 55021","DOC","1990 Lyndale Ave N, Fairbault, MN 55021","Fairbault","MN","55021","12957","Tunnel","Department of Natural Resources","DNR",0.232478632478633
