Loc ID,Location Name,Service Address,City,State,ZIP,Inv #,Invoice Date,Service Date,Material Category,Equipment,Size,QTY,Charge Type,Frequency / PO #,Perm/Temp,Tonnage,Subtotal,Tax,Total
2.14743E+11,MN Ang 133Rd Aw-Bldg 610,614 Militia Dr,Minneapolis,MN,55111,8005765,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,2,FEL,Weekly x0.5 Every Other Week (Even),Permanent,1.66,0,0,118
2.14747E+11,MN Ang 133Rd Aw-Bldg 614,614 Militia Dr,Minneapolis,MN,55111,8005767,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.83,0,0,59
2.1475E+11,MN Ang 133Rd Aw-Bldg 631,614 Militia Dr,Minneapolis,MN,55111,8005768,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.83,0,0,59
2.14752E+11,MN Ang 133Rd Aw-Bldg 638,614 Militia Dr,Minneapolis,MN,55111,8005769,1/31/2019,1/1/2019,Trash,Dumpster,4 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.55,0,0,48
2.14753E+11,MN Ang 133Rd Aw-Bldg 640,614 Militia Dr,Minneapolis,MN,55111,8005770,1/31/2019,1/1/2019,Trash,Dumpster,4 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.55,0,0,48
2.14753E+11,MN Ang 133Rd Aw-Bldg 640,614 Militia Dr,Minneapolis,MN,55111,8005770,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.83,0,0,59
2.14763E+11,MN Ang 133Rd Aw-Bldg 641,614 Militia Dr,Minneapolis,MN,55111,8005771,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,2,FEL,Weekly x0.5 Every Other Week (Even),Permanent,1.66,0,0,118
2.14765E+11,MN Ang 133Rd Aw-Bldg 642,614 Militia Dr,Minneapolis,MN,55111,8005772,1/31/2019,1/1/2019,Trash,Dumpster,4 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.55,0,0,48
2.14765E+11,MN Ang 133Rd Aw-Bldg 642,614 Militia Dr,Minneapolis,MN,55111,8005772,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.83,0,0,59
2.14769E+11,MN Ang 133Rd Aw-Bldg 656,614 Militia Dr,Minneapolis,MN,55111,8005775,1/31/2019,1/1/2019,Trash,Dumpster,4 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.55,0,0,48
2.14771E+11,MN Ang 133Rd Aw-Bldg 659,614 Militia Dr,Minneapolis,MN,55111,8005776,1/31/2019,1/1/2019,Trash,Dumpster,6 Yards,1,FEL,Weekly x0.5 Every Other Week (Even),Permanent,0.83,0,0,59
